aoi_id,aoi类型,aoi面积,zone_id
aoi_162,住宅小区,16707,zone_16
aoi_369,住宅小区,47070.94,zone_6
aoi_346,产业园区,29952.365,zone_17
aoi_204,汽车服务相关,1883,zone_11
aoi_305,产业园区,40727,zone_4
aoi_195,CBD及商住两用楼宇,8060,zone_25
aoi_315,学校,9398,zone_17
aoi_120,住宅小区,7482.8696,zone_29
aoi_75,政府及社会团体相关,24875,zone_29
aoi_387,产业园区,38027,zone_8
aoi_364,产业园区,46666.285,zone_17
aoi_385,住宅小区,9897,zone_5
aoi_40,CBD及商住两用楼宇,3941,zone_11
aoi_381,住宅小区,32708,zone_29
aoi_187,汽车服务相关,28350,zone_12
aoi_324,学校,8163,zone_8
aoi_31,住宅小区,28381,zone_13
aoi_100,CBD及商住两用楼宇,1861,zone_25
aoi_304,CBD及商住两用楼宇,2657,zone_17
aoi_325,产业园区,80850.59,zone_7
aoi_0,住宅小区,4345,zone_8
aoi_280,其他,46877.414,zone_4
aoi_415,住宅小区,61092,zone_7
aoi_152,CBD及商住两用楼宇,15657,zone_17
aoi_77,CBD及商住两用楼宇,2653,zone_17
aoi_29,住宅小区,3195.666499,zone_7
aoi_386,产业园区,15017.803,zone_6
aoi_105,住宅小区,698.7595,zone_1
aoi_401,住宅小区,10809,zone_19
aoi_127,住宅小区,99837.1,zone_7
aoi_217,CBD及商住两用楼宇,3052,zone_20
aoi_143,CBD及商住两用楼宇,1848.8993,zone_6
aoi_313,产业园区,8730,zone_17
aoi_362,产业园区,15307,zone_9
aoi_159,住宅小区,7093,zone_7
aoi_237,住宅小区,50416.895,zone_17
aoi_338,住宅小区,55129.695,zone_21
aoi_426,其他,17006,zone_21
aoi_172,产业园区,17719,zone_26
aoi_14,住宅小区,7126,zone_0
aoi_104,住宅小区,24734.525,zone_28
aoi_202,住宅小区,1998.371692,zone_5
aoi_20,其他,40290.5,zone_17
aoi_333,住宅小区,9751.059774,zone_20
aoi_16,产业园区,9712.341262,zone_17
aoi_142,产业园区,18434,zone_17
aoi_391,风景名胜,14158,zone_20
aoi_176,住宅小区,11715.416,zone_6
aoi_150,产业园区,94696,zone_9
aoi_380,住宅小区,7099,zone_8
aoi_290,住宅小区,51145.582,zone_13
aoi_17,CBD及商住两用楼宇,1748,zone_19
aoi_233,住宅小区,51449.926,zone_2
aoi_307,其他,14094,zone_4
aoi_7,住宅小区,6431,zone_8
aoi_84,购物中心,35720,zone_1
aoi_235,住宅小区,112301.8,zone_2
aoi_337,产业园区,100331.3,zone_7
aoi_82,住宅小区,4542,zone_0
aoi_332,汽车服务相关,18561,zone_25
aoi_12,住宅小区,17689,zone_16
aoi_28,政府及社会团体相关,4891.876876,zone_16
aoi_326,产业园区,35472.082,zone_26
aoi_208,其他,9705,zone_21
aoi_39,产业园区,46941,zone_17
aoi_107,产业园区,25307.467,zone_6
aoi_406,CBD及商住两用楼宇,7466.714057,zone_4
aoi_306,CBD及商住两用楼宇,4682.2373,zone_10
aoi_137,住宅小区,27355.09443,zone_17
aoi_133,产业园区,37530.914,zone_17
aoi_210,政府及社会团体相关,13536,zone_17
aoi_173,产业园区,74595.62,zone_7
aoi_207,CBD及商住两用楼宇,3558,zone_8
aoi_412,产业园区,36435,zone_26
aoi_250,产业园区,23425,zone_15
aoi_329,住宅小区,44440,zone_26
aoi_361,其他,31602.352,zone_9
aoi_230,宾馆酒店,1993,zone_29
aoi_139,住宅小区,34239,zone_28
aoi_377,住宅小区,41870.516,zone_6
aoi_26,住宅小区,31277,zone_12
aoi_259,产业园区,82133.445,zone_17
aoi_67,CBD及商住两用楼宇,4369.442,zone_25
aoi_33,住宅小区,7980.2446,zone_11
aoi_42,CBD及商住两用楼宇,24533,zone_18
aoi_96,宾馆酒店,20345,zone_19
aoi_46,购物中心,6662,zone_18
aoi_49,购物中心,36734,zone_19
aoi_19,风景名胜,29531,zone_20
aoi_197,学校,17240,zone_0
aoi_3,学校,14561,zone_0
aoi_336,其他,8128,zone_25
aoi_255,CBD及商住两用楼宇,21374,zone_25
aoi_124,政府及社会团体相关,75829,zone_12
aoi_277,汽车服务相关,1460,zone_17
aoi_318,学校,7763,zone_20
aoi_94,宾馆酒店,9688.992,zone_0
aoi_73,学校,10368,zone_15
aoi_288,学校,69552.59,zone_2
aoi_38,学校,29782,zone_9
aoi_302,宾馆酒店,11061,zone_10
aoi_284,宾馆酒店,4950,zone_10
aoi_420,学校,9885.3955,zone_15
aoi_135,其他,32066,zone_1
aoi_360,宾馆酒店,1026.558934,zone_19
aoi_167,购物中心,4454,zone_13
aoi_62,政府及社会团体相关,23182,zone_15
aoi_174,购物中心,8359,zone_0
aoi_309,学校,34400,zone_22
aoi_308,体育休闲场所,26472,zone_18
aoi_373,学校,20887.70158,zone_28
aoi_345,住宅小区,4394.446,zone_9
aoi_398,体育休闲场所,3468,zone_24
aoi_180,其他,1735,zone_17
aoi_312,CBD及商住两用楼宇,34105.32,zone_25
aoi_394,产业园区,19432.156,zone_17
aoi_256,住宅小区,7545.095,zone_11
aoi_357,住宅小区,2145,zone_0
aoi_238,住宅小区,53743.875,zone_9
aoi_356,住宅小区,59448.15276,zone_0
aoi_154,CBD及商住两用楼宇,11621,zone_17
aoi_36,CBD及商住两用楼宇,10650.46,zone_11
aoi_218,专业市场,49150.70272,zone_4
aoi_422,产业园区,48081,zone_26
aoi_264,CBD及商住两用楼宇,3435,zone_5
aoi_125,学校,2077,zone_17
aoi_181,学校,1950,zone_22
aoi_399,住宅小区,20889.244,zone_20
aoi_330,购物中心,7586,zone_29
aoi_55,住宅小区,66681,zone_16
aoi_263,住宅小区,44649.69,zone_20
aoi_363,学校,2970,zone_22
aoi_61,学校,736.3379471,zone_9
aoi_34,政府及社会团体相关,1311,zone_17
aoi_342,住宅小区,20487.885,zone_16
aoi_144,购物中心,8970,zone_21
aoi_126,宾馆酒店,2413,zone_8
aoi_198,住宅小区,27432,zone_17
aoi_117,其他,4347,zone_19
aoi_314,专业市场,6194.775872,zone_29
aoi_63,住宅小区,8010,zone_18
aoi_71,CBD及商住两用楼宇,1746.2738,zone_6
aoi_328,住宅小区,7179,zone_18
aoi_188,其他,13670,zone_25
aoi_267,产业园区,6369,zone_9
aoi_239,政府及社会团体相关,10630.623,zone_12
aoi_1,住宅小区,84637,zone_17
aoi_428,政府及社会团体相关,12035.9423,zone_28
aoi_112,体育休闲场所,6725,zone_8
aoi_23,产业园区,8795,zone_17
aoi_72,其他,31342,zone_4
aoi_262,汽车服务相关,55340,zone_17
aoi_350,政府及社会团体相关,658,zone_18
aoi_8,住宅小区,5542.7144,zone_1
aoi_149,其他,50149,zone_25
aoi_13,CBD及商住两用楼宇,1958.6317,zone_10
aoi_128,住宅小区,3902,zone_24
aoi_421,CBD及商住两用楼宇,3717,zone_24
aoi_189,学校,1225,zone_6
aoi_382,产业园区,16721.352,zone_17
aoi_98,产业园区,61255.36545,zone_17
aoi_157,住宅小区,4568,zone_13
aoi_9,产业园区,63509,zone_17
aoi_41,购物中心,5659,zone_28
aoi_297,产业园区,19104,zone_4
aoi_295,住宅小区,10659.386,zone_1
aoi_300,住宅小区,77277.266,zone_8
aoi_319,汽车服务相关,2110,zone_17
aoi_158,CBD及商住两用楼宇,2897,zone_26
aoi_45,住宅小区,4158.7295,zone_1
aoi_216,住宅小区,69800.445,zone_13
aoi_24,购物中心,3224,zone_0
aoi_283,购物中心,48232.74,zone_2
aoi_269,住宅小区,20268,zone_21
aoi_301,CBD及商住两用楼宇,4928.1387,zone_27
aoi_206,其他,12932.2,zone_26
aoi_129,CBD及商住两用楼宇,6486.5146,zone_5
aoi_146,住宅小区,43052,zone_3
aoi_145,CBD及商住两用楼宇,4775,zone_24
aoi_99,产业园区,3694.7993,zone_17
aoi_409,住宅小区,1262.7836,zone_29
aoi_211,CBD及商住两用楼宇,887.03265,zone_12
aoi_223,住宅小区,14581.7511,zone_20
aoi_402,住宅小区,36202,zone_3
aoi_274,科教文化场所,15404.702,zone_7
aoi_15,其他,29403,zone_12
aoi_384,住宅小区,30463,zone_18
aoi_78,宾馆酒店,840.3958,zone_13
aoi_344,住宅小区,5729,zone_15
aoi_59,住宅小区,45105.14861,zone_19
aoi_151,住宅小区,14069.77217,zone_4
aoi_147,住宅小区,1947,zone_0
aoi_275,汽车服务相关,10023,zone_15
aoi_249,产业园区,18622,zone_12
aoi_201,住宅小区,5937.2534,zone_1
aoi_30,CBD及商住两用楼宇,1412,zone_29
aoi_5,住宅小区,4370.9097,zone_18
aoi_48,政府及社会团体相关,2211,zone_17
aoi_85,CBD及商住两用楼宇,2384,zone_11
aoi_171,购物中心,3410,zone_29
aoi_194,CBD及商住两用楼宇,4282,zone_20
aoi_423,住宅小区,4780,zone_7
aoi_229,住宅小区,36674,zone_28
aoi_227,学校,10635.616,zone_5
aoi_424,住宅小区,17467.236,zone_18
aoi_114,住宅小区,21631.879,zone_11
aoi_175,产业园区,8451,zone_4
aoi_352,产业园区,3257,zone_17
aoi_140,住宅小区,22548.29,zone_2
aoi_335,住宅小区,3221,zone_25
aoi_289,住宅小区,3818,zone_4
aoi_340,CBD及商住两用楼宇,9839,zone_4
aoi_213,政府及社会团体相关,29799.85739,zone_17
aoi_108,住宅小区,4407,zone_11
aoi_349,住宅小区,14616,zone_21
aoi_323,住宅小区,4817.3794,zone_1
aoi_111,产业园区,5248,zone_26
aoi_278,CBD及商住两用楼宇,5045.613314,zone_29
aoi_351,住宅小区,9512.894623,zone_20
aoi_91,学校,12634,zone_26
aoi_418,住宅小区,12610,zone_12
aoi_199,住宅小区,3920,zone_17
aoi_164,住宅小区,54735.016,zone_18
aoi_191,住宅小区,1625,zone_15
aoi_246,其他,91343.16906,zone_17
aoi_219,住宅小区,18983.074,zone_28
aoi_60,专业市场,14771,zone_26
aoi_2,产业园区,52859,zone_26
aoi_419,住宅小区,115117.26,zone_19
aoi_243,住宅小区,23624,zone_0
aoi_310,住宅小区,2769,zone_29
aoi_192,CBD及商住两用楼宇,2460,zone_20
aoi_292,产业园区,17997,zone_26
aoi_4,CBD及商住两用楼宇,6406,zone_0
aoi_261,住宅小区,12658,zone_8
aoi_115,住宅小区,6466,zone_12
aoi_285,产业园区,48453,zone_17
aoi_303,CBD及商住两用楼宇,1754,zone_29
aoi_286,产业园区,46771.07,zone_17
aoi_231,CBD及商住两用楼宇,3825,zone_12
aoi_251,住宅小区,37129.117,zone_6
aoi_378,政府及社会团体相关,92189.56,zone_17
aoi_106,住宅小区,2109,zone_0
aoi_118,CBD及商住两用楼宇,2532.227,zone_10
aoi_186,住宅小区,9322,zone_16
aoi_374,其他,51446,zone_7
aoi_294,住宅小区,10434,zone_0
aoi_68,住宅小区,8940,zone_21
aoi_103,住宅小区,963.98737,zone_10
aoi_260,住宅小区,10274.06987,zone_12
aoi_83,CBD及商住两用楼宇,4232,zone_5
aoi_383,住宅小区,8634,zone_12
aoi_358,住宅小区,50974,zone_8
aoi_81,住宅小区,37719.9643,zone_16
aoi_316,住宅小区,18056.19392,zone_15
aoi_240,CBD及商住两用楼宇,4483.116312,zone_25
aoi_6,住宅小区,8453,zone_17
aoi_101,住宅小区,2445.4097,zone_18
aoi_322,住宅小区,13491,zone_18
aoi_354,其他,26046.621,zone_15
aoi_404,住宅小区,18126.33,zone_22
aoi_56,住宅小区,5242,zone_20
aoi_416,产业园区,34163,zone_17
aoi_245,住宅小区,7878.682,zone_14
aoi_37,住宅小区,13029,zone_16
aoi_193,住宅小区,31339,zone_13
aoi_408,住宅小区,86791.51,zone_7
aoi_80,学校,18946.14,zone_4
aoi_296,CBD及商住两用楼宇,6780.7744,zone_5
aoi_212,住宅小区,517,zone_29
aoi_410,CBD及商住两用楼宇,5749,zone_29
aoi_291,宾馆酒店,2884,zone_29
aoi_130,产业园区,57534.242,zone_6
aoi_95,住宅小区,6446,zone_15
aoi_70,住宅小区,10476,zone_9
aoi_367,学校,1023,zone_5
aoi_372,住宅小区,4984.2046,zone_14
aoi_279,汽车服务相关,3537,zone_17
aoi_411,其他,498770,zone_7
aoi_160,产业园区,41481,zone_26
aoi_66,住宅小区,3710.3887,zone_18
aoi_35,住宅小区,92065.195,zone_17
aoi_273,CBD及商住两用楼宇,1543.9221,zone_10
aoi_131,CBD及商住两用楼宇,2366,zone_0
aoi_155,CBD及商住两用楼宇,2200,zone_29
aoi_121,其他,10917,zone_25
aoi_134,住宅小区,9015.255,zone_16
aoi_236,住宅小区,1092,zone_28
aoi_76,政府及社会团体相关,1183,zone_17
aoi_163,其他,18410,zone_26
aoi_148,住宅小区,7491.3833,zone_9
aoi_92,住宅小区,7478,zone_18
aoi_168,其他,12788.51277,zone_25
aoi_392,产业园区,17894.814,zone_7
aoi_225,CBD及商住两用楼宇,2441,zone_8
aoi_257,住宅小区,5811.545,zone_12
aoi_113,其他,10777.092,zone_22
aoi_183,CBD及商住两用楼宇,1071,zone_29
aoi_388,产业园区,6411,zone_26
aoi_396,政府及社会团体相关,1058,zone_17
aoi_241,住宅小区,13538.213,zone_18
aoi_52,专业市场,1855,zone_13
aoi_371,购物中心,4707,zone_7
aoi_414,产业园区,126506,zone_26
aoi_220,住宅小区,14113,zone_0
aoi_203,专业市场,6805.125952,zone_26
aoi_110,住宅小区,16648.242,zone_28
aoi_50,CBD及商住两用楼宇,2088,zone_0
aoi_268,宾馆酒店,803,zone_4
aoi_341,CBD及商住两用楼宇,4344,zone_15
aoi_320,其他,88044,zone_26
aoi_184,产业园区,17266,zone_25
aoi_116,产业园区,2813.5193,zone_15
aoi_355,汽车服务相关,5673,zone_12
aoi_272,CBD及商住两用楼宇,6131.2056,zone_11
aoi_25,住宅小区,1832.672,zone_27
aoi_405,产业园区,9491.722006,zone_17
aoi_196,其他,44514,zone_8
aoi_44,住宅小区,61592.95,zone_28
aoi_109,CBD及商住两用楼宇,4515.362631,zone_12
aoi_348,住宅小区,38597,zone_17
aoi_248,产业园区,54204,zone_9
aoi_86,住宅小区,16258,zone_0
aoi_11,住宅小区,20299,zone_19
aoi_88,住宅小区,12644.606,zone_7
aoi_141,产业园区,25506,zone_4
aoi_334,住宅小区,21200,zone_9
aoi_58,住宅小区,6195,zone_18
aoi_234,政府及社会团体相关,7160,zone_18
aoi_161,产业园区,44886,zone_17
aoi_156,其他,16438,zone_4
aoi_224,住宅小区,43043.24,zone_9
aoi_242,CBD及商住两用楼宇,1803.126911,zone_29
aoi_258,购物中心,11264,zone_19
aoi_93,住宅小区,43777,zone_23
aoi_327,住宅小区,11128.658,zone_6
aoi_214,住宅小区,25334.291,zone_17
aoi_417,其他,2802,zone_25
aoi_370,住宅小区,3225.033387,zone_25
aoi_390,CBD及商住两用楼宇,5282,zone_20
aoi_53,住宅小区,20666,zone_18
aoi_427,其他,70849.44,zone_7
aoi_368,产业园区,1859,zone_26
aoi_407,学校,3995,zone_8
aoi_178,产业园区,8985,zone_6
aoi_102,其他,46446,zone_17
aoi_47,住宅小区,41038,zone_26
aoi_395,学校,3920,zone_4
aoi_343,住宅小区,58199.91557,zone_0
aoi_79,汽车服务相关,1723,zone_17
aoi_281,其他,6979,zone_25
aoi_366,产业园区,77466.94829,zone_17
aoi_87,其他,3113,zone_11
aoi_138,产业园区,39165,zone_25
aoi_271,产业园区,3475,zone_25
aoi_153,产业园区,6499,zone_0
aoi_57,住宅小区,12757,zone_18
aoi_393,购物中心,28763.275,zone_18
aoi_69,CBD及商住两用楼宇,3889.9622,zone_1
aoi_43,住宅小区,4271.1494,zone_14
aoi_252,购物中心,6241,zone_29
aoi_27,住宅小区,10478,zone_28
aoi_165,政府及社会团体相关,75751.76,zone_7
aoi_177,住宅小区,226015,zone_26
aoi_97,住宅小区,20580.268,zone_13
aoi_254,住宅小区,33523,zone_19
aoi_182,其他,29820.066,zone_25
