zone_id,date,求和项:pai_num,求和项:shou_num,,,,,,,行标签,平均值项:求和项:pai_num,平均值项:求和项:shou_num,,
zone_0,20200421,451,370,,20200417,422.8333333,336.6333333,,,20200421,412.3666667,343.1666667,,
zone_0,20200422,406,314,,20200418,363.0333333,228.0333333,,,20200422,421.0333333,326.0333333,,
zone_0,20200423,386,336,,20200419,279.2333333,192.7333333,,,20200423,425.6,328.0666667,,
zone_0,20200424,395,307,,20200420,371.4,328.7666667,,,20200424,428.9333333,337.0333333,,
zone_0,20200425,405,317,,20200421,412.3666667,343.1666667,,,20200425,356.4333333,220.2666667,,
zone_0,20200426,359,332,,20200422,421.0333333,326.0333333,,,20200426,353.5,271.3666667,,
zone_0,20200427,377,362,,20200423,425.6,328.0666667,,,20200427,353.8,317,,
zone_0,20200428,398,356,,20200424,428.9333333,337.0333333,,,20200428,393.8333333,321.7333333,,
zone_0,20200429,391,340,,20200425,356.4333333,220.2666667,,,20200429,415.8,328.9,,
zone_0,20200430,464,330,,20200426,353.5,271.3666667,,,20200430,417.4666667,283,,
zone_0,20200501,380,259,,20200427,353.8,317,,,20200501,291,153.1333333,,
zone_0,20200502,293,247,,20200428,393.8333333,321.7333333,,,20200502,221.7333333,158.2666667,,
zone_0,20200503,290,274,,20200429,415.8,328.9,,,20200503,219.8666667,155.9333333,,
zone_0,20200504,297,284,,20200430,417.4666667,283,,,20200504,236,174.3666667,,
zone_0,20200505,343,370,,20200501,291,153.1333333,,,20200505,263.3666667,217,,
zone_0,20200506,397,382,,20200502,221.7333333,158.2666667,,,20200506,373.7333333,337.9,,
zone_0,20200507,478,384,,20200503,219.8666667,155.9333333,,,20200507,436.2333333,337.0333333,,
zone_0,20200508,475,367,,20200504,236,174.3666667,,,20200508,444.8666667,366.2666667,,
zone_0,20200509,422,392,,20200505,263.3666667,217,,,20200509,431.2666667,325.0666667,,
zone_0,20200510,395,355,,20200506,373.7333333,337.9,,,20200510,324.9333333,205.6,,
zone_0,20200511,387,384,,20200507,436.2333333,337.0333333,,,20200511,384.6666667,332.2,,
zone_0,20200512,452,377,,20200508,444.8666667,366.2666667,,,20200512,413.5666667,340,,
zone_0,20200513,20,11,,20200509,431.2666667,325.0666667,,,20200513,324.8888889,247.8888889,,
zone_0,20200514,429,385,,20200510,324.9333333,205.6,,,20200514,431.1,331.5333333,,
zone_0,20200515,461,336,,20200511,384.6666667,332.2,,,20200515,427.6333333,316.0333333,,
zone_0,20200516,418,345,,20200512,413.5666667,340,,,20200516,374.0333333,230.5666667,,
zone_0,20200517,382,287,,20200513,324.8888889,247.8888889,,,20200517,285.0666667,195.2333333,,
zone_0,20200518,374,441,,20200514,431.1,331.5333333,,,20200518,365.0333333,333.9,,
zone_0,20200519,477,413,,20200515,427.6333333,316.0333333,,,20200519,419.7666667,342.9,,
zone_0,20200520,461,420,,20200516,374.0333333,230.5666667,,,20200520,438.4666667,324.5333333,,
zone_0,20200521,492,356,,20200517,285.0666667,195.2333333,,,20200521,416.3333333,311.6666667,,
zone_0,20200522,450,391,,20200518,365.0333333,333.9,,,20200522,419.2666667,323.0666667,,
zone_0,20200523,452,318,,20200519,419.7666667,342.9,,,20200523,373.4666667,223.3,,
zone_0,20200524,358,320,,20200520,438.4666667,324.5333333,,,20200524,300,182.5333333,,
zone_0,20200525,397,391,,20200521,416.3333333,311.6666667,,,20200525,367.9333333,325.9666667,,
zone_0,20200526,428,334,,20200522,419.2666667,323.0666667,,,20200526,403.2666667,319.1333333,,
zone_0,20200527,436,337,,20200523,373.4666667,223.3,,,20200527,435.4666667,327.4,,
zone_0,20200528,425,392,,20200524,300,182.5333333,,,20200528,415.2,322.5666667,,
zone_0,20200529,393,323,,20200525,367.9333333,325.9666667,,,20200529,414.3666667,312.1333333,,
zone_0,20200530,414,295,,20200526,403.2666667,319.1333333,,,20200530,344.2666667,202.8666667,,
zone_0,20200531,360,278,,20200527,435.4666667,327.4,,,20200531,258.5666667,175.3333333,,
zone_0,20200601,373,471,,20200528,415.2,322.5666667,,,20200601,362,331.8,,
zone_0,20200602,480,367,,20200529,414.3666667,312.1333333,,,20200602,442.8666667,327.1333333,,
zone_0,20200603,569,434,,20200530,344.2666667,202.8666667,,,20200603,505.5666667,332.7666667,,
zone_0,20200604,561,327,,20200531,258.5666667,175.3333333,,,20200604,505.9333333,331.4666667,,
zone_0,20200605,450,335,,20200601,362,331.8,,,20200605,468.1,316.9,,
zone_0,20200606,434,305,,20200602,442.8666667,327.1333333,,,20200606,369.2333333,216.3666667,,
zone_0,20200607,376,337,,20200603,505.5666667,332.7666667,,,20200607,279.7666667,182.3666667,,
zone_0,20200608,395,398,,20200604,505.9333333,331.4666667,,,20200608,372.1666667,320.1333333,,
zone_0,20200609,444,335,,20200605,468.1,316.9,,,20200609,423.7666667,332.2333333,,
zone_0,20200610,453,389,,20200606,369.2333333,216.3666667,,,20200610,434.5666667,335.1666667,,
zone_0,20200611,454,385,,20200607,279.7666667,182.3666667,,,20200611,439.4333333,334.8,,
zone_0,20200612,414,332,,20200608,372.1666667,320.1333333,,,20200612,429.3666667,282.2,,
zone_0,20200613,469,330,,20200609,423.7666667,332.2333333,,,20200613,372.8,232.2666667,,
zone_0,20200614,377,325,,20200610,434.5666667,335.1666667,,,20200614,281.0333333,186.5333333,,
zone_0,20200615,354,411,,20200611,439.4333333,334.8,,,20200615,369.6,334.4666667,,
zone_0,20200616,438,479,,20200612,429.3666667,282.2,,,20200616,407.1,363.7,,
zone_0,20200617,509,448,,20200613,372.8,232.2666667,,,20200617,480.8333333,361.2666667,,
zone_0,20200618,609,476,,20200614,281.0333333,186.5333333,,,20200618,521.5,383.1333333,,
zone_0,20200619,552,487,,20200615,369.6,334.4666667,,,20200619,536.6,385.7333333,,
zone_0,20200620,577,359,,20200616,407.1,363.7,,,20200620,495.4666667,274.5,,
zone_0,20200621,529,358,,20200617,480.8333333,361.2666667,,,20200621,395.2,234.7,,
zone_0,20200622,461,402,,20200618,521.5,383.1333333,,,20200622,436.2666667,362,,
zone_0,20200623,520,465,,20200619,536.6,385.7333333,,,20200623,451.7666667,381,,
zone_0,20200624,514,337,,20200620,495.4666667,274.5,,,20200624,457.8333333,343.9333333,,
zone_0,20200625,391,219,,20200621,395.2,234.7,,,20200625,314.6,136.5333333,,
zone_0,20200626,289,244,,20200622,436.2666667,362,,,20200626,236.4333333,170.7333333,,
zone_0,20200627,314,291,,20200623,451.7666667,381,,,20200627,239.0666667,193.9,,
zone_0,20200628,321,364,,20200624,457.8333333,343.9333333,,,20200628,352.0333333,315.3333333,,
zone_0,20200629,364,341,,20200625,314.6,136.5333333,,,20200629,376.7666667,335.4333333,,
zone_0,20200630,388,357,,20200626,236.4333333,170.7333333,,,20200630,397.9666667,331.3,,
zone_0,20200701,393,328,,20200627,239.0666667,193.9,,,20200701,400.6333333,318.2666667,,
zone_0,20200702,426,332,,20200628,352.0333333,315.3333333,,,20200702,406.3666667,332.8,,
zone_0,20200703,376,316,,20200629,376.7666667,335.4333333,,,20200703,408.8333333,322.4333333,,
zone_0,20200704,385,279,,20200630,397.9666667,331.3,,,20200704,339.0666667,215.7666667,,
zone_0,20200705,341,245,,20200701,400.6333333,318.2666667,,,20200705,257.5333333,177.7,,
zone_0,20200706,313,356,,20200702,406.3666667,332.8,,,20200706,357.1666667,328.8,,
zone_0,20200707,363,357,,20200703,408.8333333,322.4333333,,,20200707,391.1,325.4,,
zone_0,20200708,403,365,,20200704,339.0666667,215.7666667,,,20200708,403.2333333,325.9,,
zone_0,20200709,407,293,,20200705,257.5333333,177.7,,,20200709,404.3666667,321.3666667,,
zone_0,20200710,384,348,,20200706,357.1666667,328.8,,,20200710,397.3,327.7666667,,
zone_0,20200711,375,278,,20200707,391.1,325.4,,,20200711,348.4666667,215.6666667,,
zone_0,20200712,321,251,,20200708,403.2333333,325.9,,,20200712,266.0333333,175.1333333,,
zone_0,20200713,363,354,,20200709,404.3666667,321.3666667,,,20200713,366.4666667,325.4,,
zone_0,20200714,411,334,,20200710,397.3,327.7666667,,,20200714,410.2333333,330.6,,
zone_0,20200715,420,325,,20200711,348.4666667,215.6666667,,,20200715,413.4,315.5333333,,
zone_0,20200716,416,335,,20200712,266.0333333,175.1333333,,,20200716,406.2,319.1333333,,
zone_0,20200717,382,324,,20200713,366.4666667,325.4,,,20200717,395.5666667,319.5333333,,
zone_0,20200718,390,268,,20200714,410.2333333,330.6,,,20200718,333.4666667,206.8666667,,
zone_0,20200719,328,313,,20200715,413.4,315.5333333,,,20200719,260.8666667,176.2666667,,
zone_0,20200720,348,368,,20200716,406.2,319.1333333,,,20200720,361.9,315.7666667,,
zone_0,20200721,329,342,,20200717,395.5666667,319.5333333,,,20200721,360.8666667,314.5666667,,
zone_0,20200722,410,351,,20200718,333.4666667,206.8666667,,,20200722,410.8333333,332.4,,
zone_0,20200723,406,291,,20200719,260.8666667,176.2666667,,,20200723,416.1666667,323.2666667,,
zone_0,20200724,391,339,,20200720,361.9,315.7666667,,,20200724,402.5,314.1666667,,
zone_0,20200725,354,316,,20200721,360.8666667,314.5666667,,,20200725,341.3666667,205.5666667,,
zone_0,20200726,333,281,,20200722,410.8333333,332.4,,,20200726,259.1333333,165.3666667,,
zone_0,20200727,317,334,,20200723,416.1666667,323.2666667,,,20200727,353.0333333,316.6333333,,
zone_0,20200728,406,335,,20200724,402.5,314.1666667,,,20200728,386.8666667,310.7666667,,
zone_0,20200729,402,323,,20200725,341.3666667,205.5666667,,,20200729,405.2,307.1333333,,
zone_0,20200730,373,296,,20200726,259.1333333,165.3666667,,,20200730,410.6,301.3333333,,
zone_0,20200731,372,283,,20200727,353.0333333,316.6333333,,,20200731,395.1,288.6,,
zone_0,20200801,341,249,,20200728,386.8666667,310.7666667,,,20200801,338.2333333,202.2,,
zone_0,20200802,309,266,,20200729,405.2,307.1333333,,,20200802,255.8333333,167.1666667,,
zone_0,20200803,312,301,,20200730,410.6,301.3333333,,,20200803,341.4666667,304.5333333,,
zone_0,20200804,356,368,,20200731,395.1,288.6,,,20200804,379.6,325.4666667,,
zone_0,20200805,389,334,,20200801,338.2333333,202.2,,,20200805,403.3333333,310.8666667,,
zone_0,20200806,389,332,,20200802,255.8333333,167.1666667,,,20200806,406.6333333,282.7333333,,
zone_0,20200807,366,324,,20200803,341.4666667,304.5333333,,,20200807,414.4333333,305.3666667,,
zone_0,20200808,378,286,,20200804,379.6,325.4666667,,,20200808,363.7,196.4,,
zone_0,20200809,324,230,,20200805,403.3333333,310.8666667,,,20200809,277.7,177.4333333,,
zone_0,20200810,342,375,,20200806,406.6333333,282.7333333,,,20200810,389,324.7,,
zone_0,20200811,393,354,,20200807,414.4333333,305.3666667,,,20200811,400.2,312.6333333,,
zone_0,20200812,355,330,,20200808,363.7,196.4,,,20200812,412.1666667,324.8333333,,
zone_0,20200813,338,256,,20200809,277.7,177.4333333,,,20200813,404.5666667,298.0333333,,
zone_0,20200814,367,326,,20200810,389,324.7,,,20200814,421.2,310.3,,
zone_0,20200815,387,262,,20200811,400.2,312.6333333,,,20200815,351.4333333,207.4666667,,
zone_0,20200816,305,216,,20200812,412.1666667,324.8333333,,,20200816,263.3333333,178.7666667,,
zone_0,20200817,364,348,,20200813,404.5666667,298.0333333,,,20200817,363.6333333,318.5666667,,
zone_0,20200818,361,308,,20200814,421.2,310.3,,,20200818,390,323.8666667,,
zone_0,20200819,370,339,,20200815,351.4333333,207.4666667,,,20200819,396.7,328.1333333,,
zone_0,20200820,388,363,,20200816,263.3333333,178.7666667,,,20200820,433.4,324.7666667,,
zone_0,20200821,430,336,,20200817,363.6333333,318.5666667,,,20200821,441.5666667,327.5,,
zone_0,20200822,410,257,,20200818,390,323.8666667,,,20200822,373.6,228.2666667,,
zone_0,20200823,418,296,,20200819,396.7,328.1333333,,,20200823,308.9666667,191.5666667,,
zone_0,20200824,424,399,,20200820,433.4,324.7666667,,,20200824,410.4666667,339.5,,
zone_0,20200825,406,324,,20200821,441.5666667,327.5,,,20200825,439.7,322.6333333,,
zone_0,20200826,423,309,,20200822,373.6,228.2666667,,,20200826,437.1333333,324.0333333,,
zone_0,20200827,449,257,,20200823,308.9666667,191.5666667,,,20200827,437.8666667,314.6333333,,
zone_0,20200828,427,301,,20200824,410.4666667,339.5,,,20200828,428.6666667,308.3,,
zone_0,20200829,453,271,,20200825,439.7,322.6333333,,,20200829,363.3666667,210.7666667,,
zone_0,20200830,365,234,,20200826,437.1333333,324.0333333,,,20200830,283.9666667,175.3333333,,
zone_0,20200831,355,273,,20200827,437.8666667,314.6333333,,,20200831,382,306.4666667,,
zone_1,20200301,235,290,,20200828,428.6666667,308.3,,,,,,,
zone_1,20200302,257,319,,20200829,363.3666667,210.7666667,,,,,,,
zone_1,20200303,345,355,,20200830,283.9666667,175.3333333,,,,,,,
zone_1,20200304,325,300,,20200831,382,306.4666667,,,,,,,
zone_1,20200305,296,289,,总计,386.6686638,286.1298112,,,,,,,
zone_1,20200306,336,313,,,,,,,,,,,
zone_1,20200307,273,270,,,,,,,,,,,
zone_1,20200308,265,256,,,,,,,,,,,
zone_1,20200309,255,370,,,,,,,,,,,
zone_1,20200310,342,337,,,,,,,,,,,
zone_1,20200311,350,302,,,,,,,,,,,
zone_1,20200312,380,322,,,,,,,,,,,
zone_1,20200313,327,298,,,,,,,,,,,
zone_1,20200314,246,235,,,,,,,,,,,
zone_1,20200315,231,177,,,,,,,,,,,
zone_1,20200316,272,310,,,,,,,,,,,
zone_1,20200317,336,314,,,,,,,,,,,
zone_1,20200318,391,280,,,,,,,,,,,
zone_1,20200319,356,288,,,,,,,,,,,
zone_1,20200320,261,287,,,,,,,,,,,
zone_1,20200321,296,294,,,,,,,,,,,
zone_1,20200322,239,186,,,,,,,,,,,
zone_1,20200323,269,303,,,,,,,,,,,
zone_1,20200324,296,344,,,,,,,,,,,
zone_1,20200325,344,304,,,,,,,,,,,
zone_1,20200326,313,334,,,,,,,,,,,
zone_1,20200327,291,299,,,,,,,,,,,
zone_1,20200328,238,280,,,,,,,,,,,
zone_1,20200329,204,177,,,,,,,,,,,
zone_1,20200330,233,345,,,,,,,,,,,
zone_1,20200331,320,278,,,,,,,,,,,
zone_1,20200401,327,301,,,,,,,,,,,
zone_1,20200402,513,298,,,,,,,,,,,
zone_1,20200403,319,249,,,,,,,,,,,
zone_1,20200404,207,194,,,,,,,,,,,
zone_1,20200405,149,189,,,,,,,,,,,
zone_1,20200406,164,150,,,,,,,,,,,
zone_1,20200407,249,313,,,,,,,,,,,
zone_1,20200408,303,306,,,,,,,,,,,
zone_1,20200409,321,319,,,,,,,,,,,
zone_1,20200410,284,296,,,,,,,,,,,
zone_1,20200411,268,199,,,,,,,,,,,
zone_1,20200412,203,161,,,,,,,,,,,
zone_1,20200413,290,289,,,,,,,,,,,
zone_1,20200414,336,293,,,,,,,,,,,
zone_1,20200415,350,284,,,,,,,,,,,
zone_1,20200416,293,289,,,,,,,,,,,
zone_1,20200417,333,295,,,,,,,,,,,
zone_1,20200418,301,222,,,,,,,,,,,
zone_1,20200419,193,166,,,,,,,,,,,
zone_1,20200420,227,304,,,,,,,,,,,
zone_1,20200421,310,302,,,,,,,,,,,
zone_1,20200422,301,306,,,,,,,,,,,
zone_1,20200423,318,301,,,,,,,,,,,
zone_1,20200424,304,352,,,,,,,,,,,
zone_1,20200425,267,196,,,,,,,,,,,
zone_1,20200426,245,274,,,,,,,,,,,
zone_1,20200427,290,310,,,,,,,,,,,
zone_1,20200428,262,301,,,,,,,,,,,
zone_1,20200429,299,281,,,,,,,,,,,
zone_1,20200430,308,301,,,,,,,,,,,
zone_1,20200501,238,120,,,,,,,,,,,
zone_1,20200502,127,132,,,,,,,,,,,
zone_1,20200503,122,139,,,,,,,,,,,
zone_1,20200504,205,205,,,,,,,,,,,
zone_1,20200505,190,258,,,,,,,,,,,
zone_1,20200506,253,314,,,,,,,,,,,
zone_1,20200507,305,278,,,,,,,,,,,
zone_1,20200508,312,328,,,,,,,,,,,
zone_1,20200509,292,275,,,,,,,,,,,
zone_1,20200510,234,170,,,,,,,,,,,
zone_1,20200511,231,253,,,,,,,,,,,
zone_1,20200512,303,334,,,,,,,,,,,
zone_1,20200513,347,225,,,,,,,,,,,
zone_1,20200514,305,305,,,,,,,,,,,
zone_1,20200515,344,241,,,,,,,,,,,
zone_1,20200516,403,229,,,,,,,,,,,
zone_1,20200517,317,186,,,,,,,,,,,
zone_1,20200518,245,299,,,,,,,,,,,
zone_1,20200519,322,303,,,,,,,,,,,
zone_1,20200520,329,299,,,,,,,,,,,
zone_1,20200521,296,280,,,,,,,,,,,
zone_1,20200522,271,255,,,,,,,,,,,
zone_1,20200523,265,206,,,,,,,,,,,
zone_1,20200524,248,167,,,,,,,,,,,
zone_1,20200525,275,261,,,,,,,,,,,
zone_1,20200526,312,300,,,,,,,,,,,
zone_1,20200527,330,273,,,,,,,,,,,
zone_1,20200528,306,296,,,,,,,,,,,
zone_1,20200529,294,315,,,,,,,,,,,
zone_1,20200530,256,164,,,,,,,,,,,
zone_1,20200531,180,169,,,,,,,,,,,
zone_1,20200601,280,280,,,,,,,,,,,
zone_1,20200602,337,283,,,,,,,,,,,
zone_1,20200603,388,294,,,,,,,,,,,
zone_1,20200604,372,284,,,,,,,,,,,
zone_1,20200605,339,273,,,,,,,,,,,
zone_1,20200606,260,163,,,,,,,,,,,
zone_1,20200607,205,190,,,,,,,,,,,
zone_1,20200608,244,306,,,,,,,,,,,
zone_1,20200609,281,309,,,,,,,,,,,
zone_1,20200610,389,231,,,,,,,,,,,
zone_1,20200611,364,259,,,,,,,,,,,
zone_1,20200612,244,200,,,,,,,,,,,
zone_1,20200613,297,195,,,,,,,,,,,
zone_1,20200614,224,147,,,,,,,,,,,
zone_1,20200615,240,265,,,,,,,,,,,
zone_1,20200616,295,295,,,,,,,,,,,
zone_1,20200617,364,282,,,,,,,,,,,
zone_1,20200618,386,348,,,,,,,,,,,
zone_1,20200619,342,340,,,,,,,,,,,
zone_1,20200620,348,288,,,,,,,,,,,
zone_1,20200621,311,253,,,,,,,,,,,
zone_1,20200622,269,341,,,,,,,,,,,
zone_1,20200623,350,348,,,,,,,,,,,
zone_1,20200624,332,315,,,,,,,,,,,
zone_1,20200625,224,156,,,,,,,,,,,
zone_1,20200626,147,222,,,,,,,,,,,
zone_1,20200627,203,261,,,,,,,,,,,
zone_1,20200628,297,319,,,,,,,,,,,
zone_1,20200629,268,346,,,,,,,,,,,
zone_1,20200630,328,330,,,,,,,,,,,
zone_1,20200701,277,321,,,,,,,,,,,
zone_1,20200702,315,334,,,,,,,,,,,
zone_1,20200703,352,337,,,,,,,,,,,
zone_1,20200704,246,234,,,,,,,,,,,
zone_1,20200705,195,195,,,,,,,,,,,
zone_1,20200706,259,329,,,,,,,,,,,
zone_1,20200707,316,290,,,,,,,,,,,
zone_1,20200708,297,349,,,,,,,,,,,
zone_1,20200709,306,290,,,,,,,,,,,
zone_1,20200710,390,423,,,,,,,,,,,
zone_1,20200711,279,310,,,,,,,,,,,
zone_1,20200712,183,211,,,,,,,,,,,
zone_1,20200713,286,333,,,,,,,,,,,
zone_1,20200714,291,310,,,,,,,,,,,
zone_1,20200715,328,292,,,,,,,,,,,
zone_1,20200716,341,270,,,,,,,,,,,
zone_1,20200717,289,292,,,,,,,,,,,
zone_1,20200718,274,209,,,,,,,,,,,
zone_1,20200719,196,219,,,,,,,,,,,
zone_1,20200720,365,284,,,,,,,,,,,
zone_1,20200721,295,306,,,,,,,,,,,
zone_1,20200722,305,329,,,,,,,,,,,
zone_1,20200723,317,305,,,,,,,,,,,
zone_1,20200724,297,291,,,,,,,,,,,
zone_1,20200725,264,224,,,,,,,,,,,
zone_1,20200726,198,174,,,,,,,,,,,
zone_1,20200727,269,276,,,,,,,,,,,
zone_1,20200728,267,289,,,,,,,,,,,
zone_1,20200729,335,284,,,,,,,,,,,
zone_1,20200730,333,257,,,,,,,,,,,
zone_1,20200731,271,262,,,,,,,,,,,
zone_1,20200801,258,188,,,,,,,,,,,
zone_1,20200802,178,172,,,,,,,,,,,
zone_1,20200803,229,292,,,,,,,,,,,
zone_1,20200804,315,274,,,,,,,,,,,
zone_1,20200805,354,280,,,,,,,,,,,
zone_1,20200806,391,255,,,,,,,,,,,
zone_1,20200807,364,274,,,,,,,,,,,
zone_1,20200808,290,170,,,,,,,,,,,
zone_1,20200809,237,207,,,,,,,,,,,
zone_1,20200810,322,287,,,,,,,,,,,
zone_1,20200811,329,316,,,,,,,,,,,
zone_1,20200812,377,375,,,,,,,,,,,
zone_1,20200813,404,285,,,,,,,,,,,
zone_1,20200814,348,286,,,,,,,,,,,
zone_1,20200815,352,219,,,,,,,,,,,
zone_1,20200816,213,218,,,,,,,,,,,
zone_1,20200817,275,297,,,,,,,,,,,
zone_1,20200818,357,291,,,,,,,,,,,
zone_1,20200819,272,311,,,,,,,,,,,
zone_1,20200820,374,309,,,,,,,,,,,
zone_1,20200821,473,307,,,,,,,,,,,
zone_1,20200822,332,226,,,,,,,,,,,
zone_1,20200823,290,178,,,,,,,,,,,
zone_1,20200824,331,325,,,,,,,,,,,
zone_1,20200825,375,329,,,,,,,,,,,
zone_1,20200826,407,302,,,,,,,,,,,
zone_1,20200827,378,318,,,,,,,,,,,
zone_1,20200828,398,308,,,,,,,,,,,
zone_1,20200829,290,207,,,,,,,,,,,
zone_1,20200830,224,207,,,,,,,,,,,
zone_1,20200831,274,248,,,,,,,,,,,
zone_10,20200301,229,482,,,,,,,,,,,
zone_10,20200302,321,536,,,,,,,,,,,
zone_10,20200303,318,556,,,,,,,,,,,
zone_10,20200304,317,544,,,,,,,,,,,
zone_10,20200305,298,733,,,,,,,,,,,
zone_10,20200306,302,641,,,,,,,,,,,
zone_10,20200307,296,287,,,,,,,,,,,
zone_10,20200308,244,321,,,,,,,,,,,
zone_10,20200309,297,486,,,,,,,,,,,
zone_10,20200310,300,489,,,,,,,,,,,
zone_10,20200311,312,438,,,,,,,,,,,
zone_10,20200312,357,544,,,,,,,,,,,
zone_10,20200313,286,509,,,,,,,,,,,
zone_10,20200314,233,565,,,,,,,,,,,
zone_10,20200315,237,386,,,,,,,,,,,
zone_10,20200316,282,540,,,,,,,,,,,
zone_10,20200317,277,582,,,,,,,,,,,
zone_10,20200318,297,467,,,,,,,,,,,
zone_10,20200319,266,467,,,,,,,,,,,
zone_10,20200320,231,548,,,,,,,,,,,
zone_10,20200321,219,547,,,,,,,,,,,
zone_10,20200322,201,623,,,,,,,,,,,
zone_10,20200323,254,508,,,,,,,,,,,
zone_10,20200324,277,651,,,,,,,,,,,
zone_10,20200325,293,438,,,,,,,,,,,
zone_10,20200326,239,414,,,,,,,,,,,
zone_10,20200327,274,537,,,,,,,,,,,
